log_id,problem_id,user_id,is_correct,attempts,score,submit_time,content,option,answer,concept_id,course_id,course_name
14392312_1209650,Pm_1209650,U_14392312,0,1,0.0,2020-07-19 15:44:50,不同VLAN 间数据通信，需通过（ ）进行转发。,"{'A': 'HUB', 'B': '二层交换机', 'C': '路由器', 'D': '中继器'}","[""C""]",K_二层交换机_计算机科学与技术,C_680992,网络综合布线
14392312_1209652,Pm_1209652,U_14392312,0,1,0.0,2020-07-19 15:45:26,虚拟局域网VLAN可根据以下哪些方式划分（）,"{'A': '根据端口划分VLAN', 'B': '根据MAC地址划分VLAN', 'C': '根据网络层（IP地址）划分VLAN', 'D': 'IP组播作为VLAN'}","[""A"", ""B"", ""C"", ""D""]",K_IP地址_信息与通信工程,C_680992,网络综合布线
14424233_738102,Pm_738102,U_14424233,1,1,1.0,2020-05-18 00:31:16,为保证从分布式存储系统中读取的数据正确，需要采用哪种数据处理方式（  ）,"{'A': '压缩', 'B': '多份存储', 'C': 'Erasure coding编码', 'D': 'Checksum数据校验'}","[""D""]",K_分布式存储系统_计算机科学与技术,C_734011,大数据平台核心技术
14424233_738104,Pm_738104,U_14424233,1,1,1.0,2020-05-18 00:31:26,对于数据复制中的两种技术Replication和Rebalance的异同点描述不正确的是（  ）,"{'A': 'Repication的主要目的是为了保证数据可靠，防止数据丢失', 'B': 'Rebalance的主要目的是为了清理系统中的多余数据，提高空间利用率', 'C': 'Replication和Rebalance都需要考虑到数据在数据中心中的存放位置，提高由于硬件失效带来的数据不可用', 'D': 'Replication和Rebalance需要有优先级控制，防止数据复制不及时造成数据丢失'}","[""B""]",K_级控_计算机科学与技术,C_734011,大数据平台核心技术
14424233_738107,Pm_738107,U_14424233,1,1,2.0,2020-05-18 00:31:37,下面对于分布式存储系统中如何选取存储介质的描述错误的是（  ）,"{'A': '为了让程序实现简单高效，存储系统中应该选用单一的存储介质', 'B': '为了节省存储成本，通常在一个分布式存储系统中会使用多种存储介质来实现高性能和大容量的目的', 'C': '不同的使用场景下，应该采用灵活的混合存储方式来满足需求', 'D': '所有存储介质的存储寿命都是一样的，所以寿命不在选取介质类型的考虑范围内'}","[""A"", ""D""]",K_存储介质_计算机科学与技术,C_734011,大数据平台核心技术
14424233_738109,Pm_738109,U_14424233,1,1,1.0,2020-05-18 00:32:42,下面对分布式调度需要解决问题的说法正确的是？(  ),"{'A': '分布式调度主要解决任务调度的问题', 'B': '分布式调度主要解决资源如何分配的问题', 'C': '分布式调度既要解决任务调度也需要解决资源调度的问题', 'D': '以上说法都不对'}","[""C""]",K_任务调度_计算机科学与技术,C_734011,大数据平台核心技术
14424233_738110,Pm_738110,U_14424233,1,1,1.0,2020-05-18 00:32:46,伏羲分布式调度系统中负责资源调度的角色是？(  ),"{'A': 'FuxiMaster', 'B': 'Tubo', 'C': 'AppMaster', 'D': 'AppWorker'}","[""A""]",K_资源调度_计算机科学与技术,C_734011,大数据平台核心技术
14424233_738114,Pm_738114,U_14424233,1,1,1.0,2020-05-18 00:32:58,下列关于伏羲资源调度优先级策略的说法错误的是？(  ),"{'A': '每个job在提交时会带一个priority值，一个整数值，越大优先级越高', 'B': '相同优先级按提交时间，先提交的优先级高', 'C': '资源优先分配给高优先级的job，剩余的资源继续分配给次高优先级job', 'D': '允许有高优先级的紧急任务加入'}","[""A""]",K_高优先级_计算机科学与技术,C_734011,大数据平台核心技术
14424233_738115,Pm_738115,U_14424233,1,1,1.0,2020-05-18 00:33:02,伏羲资源调度支持抢占，下面说法错误的是？(  ),"{'A': 'FuxiMaster会从当前正在运行的任务中，从最低优先级任务开始强制收回资源', 'B': '最低优先级任务被抢占后，抢占过程即终止', 'C': '抢占会一直递归进行', 'D': '不能抢比自己优先级高的任务'}","[""B""]",K_资源调度_计算机科学与技术,C_734011,大数据平台核心技术
14424233_738116,Pm_738116,U_14424233,1,1,2.0,2020-05-18 00:33:06,阿里云伏羲分布式调度系统与社区Hadoop MR最大的区别是？(  ),"{'A': 'Hadoop是一层架构集中资源和任务调度，而伏羲是两层架构独立的资源和任务调度', 'B': 'Hadoop存在规模瓶颈，而伏羲规模横向扩展性更好', 'C': 'Hadoop与伏羲的调度策略不同', 'D': 'Hadoop jobtracker没有failover，伏羲有完善的failover功能'}","[""A"", ""B"", ""D""]",K_调度策略_计算机科学与技术,C_734011,大数据平台核心技术
