log_id,problem_id,user_id,is_correct,attempts,score_x,submit_time,concept_id,title,content,option,answer,score_y,type,typetext,location,context_id,exercise_id_x,language,course_id,exercise_id_y,course_name
29040364_146588,Pm_146588,U_29040364,1,1,1.0,2020-07-01 10:48:42,K_命令提示符_计算机科学与技术,初识Linux--初识Linux测试,当您在命令提示符的后面输入命令的一部分时，按（__）键，Linux会帮你打剩下的字符，补充成为完整命令，如果有多个相符的命令，连按两下（__）键，Linux会显示所有的相符的命令。,"{'A': 'TAB', 'B': 'CONTRL', 'C': 'SHIFT', 'D': 'SPACE'}","[""A""]",1.0,1.0,单选题,1.9,"[6197117, 6197118, 6197119, 6197120, 6197122]",Ex_116883,Chinese,C_680747,Ex_116883,Linux系统管理
29040364_146589,Pm_146589,U_29040364,1,1,2.0,2020-07-01 10:50:12,K_自由软件_计算机科学与技术,初识Linux--初识Linux测试,下面的选项哪些是正确的？,"{'A': 'Linux操作系统是由Linus Torvalds发明的', 'B': 'Linux操作系统是由Richard Stallman发明的', 'C': 'Linus Torvalds和Richard Stallman的工作共同造就了Linux', 'D': '自由软件运动和互联网的兴起造就了Linux操作系统'}","[""C"", ""D""]",2.0,2.0,多选题,1.9,"[6197117, 6197118, 6197119, 6197120, 6197122]",Ex_116883,Chinese,C_680747,Ex_116883,Linux系统管理
29040364_146591,Pm_146591,U_29040364,0,1,0.0,2020-07-01 10:51:22,K_闭源_计算机科学与技术,初识Linux--初识Linux测试,"关于CentOS,下面哪些说法是正确的？","{'A': 'CentOS100%兼容红帽企业版(RHEL)', 'B': 'CentOS不提供专门技术支持，不包含封闭源代码软件', 'C': 'CentOS 64位版本可以安装在32位架构的机器上', 'D': 'CentOS是利用用红帽企业版(RHEL)源代码重新编译而成的'}","[""A"", ""B"", ""D""]",2.0,2.0,多选题,1.9,"[6197117, 6197118, 6197119, 6197120, 6197122]",Ex_116883,Chinese,C_680747,Ex_116883,Linux系统管理
29040364_146592,Pm_146592,U_29040364,1,1,2.0,2020-07-01 10:51:49,K_Swap分区_计算机科学与技术,初识Linux--初识Linux测试,安装Linux所要的两个最基本的分区分别是以（ ）和（ ）。,"{'A': '/boot分区', 'B': '/home分区', 'C': '根分区', 'D': 'Swap分区'}","[""C"", ""D""]",2.0,2.0,多选题,1.9,"[6197117, 6197118, 6197119, 6197120, 6197122]",Ex_116883,Chinese,C_680747,Ex_116883,Linux系统管理
29040364_146593,Pm_146593,U_29040364,1,1,2.0,2020-07-01 10:52:09,K_主机名_计算机科学与技术,初识Linux--初识Linux测试,在Linux中，打开BASH后的命令提示符，能够告诉你有关主机的哪些信息？,"{'A': '登录的主机名', 'B': '登录的用户名', 'C': '用户当前所处的工作目录', 'D': '用户上次登录时间'}","[""A"", ""B"", ""C""]",2.0,2.0,多选题,1.9,"[6197117, 6197118, 6197119, 6197120, 6197122]",Ex_116883,Chinese,C_680747,Ex_116883,Linux系统管理
29040364_146593,Pm_146593,U_29040364,1,1,2.0,2020-07-01 10:52:09,K_命令提示符_计算机科学与技术,初识Linux--初识Linux测试,在Linux中，打开BASH后的命令提示符，能够告诉你有关主机的哪些信息？,"{'A': '登录的主机名', 'B': '登录的用户名', 'C': '用户当前所处的工作目录', 'D': '用户上次登录时间'}","[""A"", ""B"", ""C""]",2.0,2.0,多选题,1.9,"[6197117, 6197118, 6197119, 6197120, 6197122]",Ex_116883,Chinese,C_680747,Ex_116883,Linux系统管理
29040364_146597,Pm_146597,U_29040364,0,1,0.0,2020-07-01 10:54:27,K_系统管理员_计算机科学与技术,初识Linux--初识Linux测试,下面关于关机和重启的说法，哪些是正确的？,"{'A': '关机是系统管理员要给予充分重视的一件大事.', 'B': 'shutdown -k now 命令用于立即关机', 'C': '不恰当或者不正确的关机和重启，可能会导致数据丢失', 'D': '关机和重启命令默认情况下普通用户亦可执行'}","[""A"", ""C""]",2.0,2.0,多选题,1.9,"[6197117, 6197118, 6197119, 6197120, 6197122]",Ex_116883,Chinese,C_680747,Ex_116883,Linux系统管理
29040364_146598,Pm_146598,U_29040364,1,1,2.0,2020-07-01 10:54:47,K_Shell脚本_计算机科学与技术,初识Linux--初识Linux测试,Linux中所谓的命令(Command)，广义上包括：,"{'A': '可执行的二进制文件', 'B': '可执行的库文件', 'C': 'shell脚本文件', 'D': 'shell内建函数'}","[""A"", ""C"", ""D""]",2.0,2.0,多选题,1.9,"[6197117, 6197118, 6197119, 6197120, 6197122]",Ex_116883,Chinese,C_680747,Ex_116883,Linux系统管理
29040364_146604,Pm_146604,U_29040364,0,1,0.0,2020-07-05 11:24:50,K_键入_计算机科学与技术,管好文件--用好文件测试01,假设当前工作目录下有一个名为sampledir 的目录，该目录下有一个名为sampledir01的目录， 键入 “rmdir sampledir”，会发生什么？,"{'A': 'sampledir和sampledir01被删除', 'B': '出错', 'C': 'sampledir01被删除', 'D': 'sampledir被删除，但sampledir01未被删除'}","[""B""]",1.0,1.0,单选题,2.1,"[6197129, 6197130, 6197133, 6197135, 6197137, 6197138]",Ex_116892,Chinese,C_680747,Ex_116892,Linux系统管理
29040364_146607,Pm_146607,U_29040364,1,1,2.0,2020-07-05 11:26:17,K_登录_计算机科学与技术,管好文件--用好文件测试01,关于Linux中工作目录，下面哪些说法是错误的?,"{'A': '可以在命令提示符中观察到目前所处的工作目录', 'B': '用户登录后初始的默认工作目录总是登录用户的 “家目录”', 'C': '用户的工作目录是固定的', 'D': '可以用～字符代表当前工作目录'}","[""C"", ""D""]",2.0,2.0,多选题,2.1,"[6197129, 6197130, 6197133, 6197135, 6197137, 6197138]",Ex_116892,Chinese,C_680747,Ex_116892,Linux系统管理
