,log_id,problem_id,user_id,is_correct,attempts,score_x,submit_time,concept_id,title,content,option,answer,score_y,type,typetext,location,context_id,exercise_id,language
10,14392312_1209650,Pm_1209650,U_14392312,0,1,0.0,2020-07-19 15:44:50,K_二层交换机_计算机科学与技术,虚拟局域网（VLAN）划分-作业,不同VLAN 间数据通信，需通过（ ）进行转发。,"{'A': 'HUB', 'B': '二层交换机', 'C': '路由器', 'D': '中继器'}","[""C""]",1.0,1.0,单选题,8.4.1,[983148],Ex_996979,Chinese
12,14392312_1209652,Pm_1209652,U_14392312,0,1,0.0,2020-07-19 15:45:26,K_IP地址_信息与通信工程,虚拟局域网（VLAN）划分-作业,虚拟局域网VLAN可根据以下哪些方式划分（）,"{'A': '根据端口划分VLAN', 'B': '根据MAC地址划分VLAN', 'C': '根据网络层（IP地址）划分VLAN', 'D': 'IP组播作为VLAN'}","[""A"", ""B"", ""C"", ""D""]",2.0,2.0,多选题,8.4.1,[983148],Ex_996979,Chinese
20,14424233_738102,Pm_738102,U_14424233,1,1,1.0,2020-05-18 00:31:16,K_分布式存储系统_计算机科学与技术,第二讲 分布式存储--QUIZ,为保证从分布式存储系统中读取的数据正确，需要采用哪种数据处理方式（  ）,"{'A': '压缩', 'B': '多份存储', 'C': 'Erasure coding编码', 'D': 'Checksum数据校验'}","[""D""]",1.0,1.0,单选题,2.30,"[585119, 585120, 585121, 585122, 585124, 585125, 585126, 585127, 585128, 585129, 585130, 585132, 585133, 585134, 585135, 585136, 585137, 585138, 585139, 585140, 585141, 585143, 585144, 585146, 585147, 585148, 585150]",Ex_585151,Chinese
22,14424233_738104,Pm_738104,U_14424233,1,1,1.0,2020-05-18 00:31:26,K_级控_计算机科学与技术,第二讲 分布式存储--QUIZ,对于数据复制中的两种技术Replication和Rebalance的异同点描述不正确的是（  ）,"{'A': 'Repication的主要目的是为了保证数据可靠，防止数据丢失', 'B': 'Rebalance的主要目的是为了清理系统中的多余数据，提高空间利用率', 'C': 'Replication和Rebalance都需要考虑到数据在数据中心中的存放位置，提高由于硬件失效带来的数据不可用', 'D': 'Replication和Rebalance需要有优先级控制，防止数据复制不及时造成数据丢失'}","[""B""]",1.0,1.0,单选题,2.30,"[585119, 585120, 585121, 585122, 585124, 585125, 585126, 585127, 585128, 585129, 585130, 585132, 585133, 585134, 585135, 585136, 585137, 585138, 585139, 585140, 585141, 585143, 585144, 585146, 585147, 585148, 585150]",Ex_585151,Chinese
23,14424233_738104,Pm_738104,U_14424233,1,1,1.0,2020-05-18 00:31:26,K_数据复制_计算机科学与技术,第二讲 分布式存储--QUIZ,对于数据复制中的两种技术Replication和Rebalance的异同点描述不正确的是（  ）,"{'A': 'Repication的主要目的是为了保证数据可靠，防止数据丢失', 'B': 'Rebalance的主要目的是为了清理系统中的多余数据，提高空间利用率', 'C': 'Replication和Rebalance都需要考虑到数据在数据中心中的存放位置，提高由于硬件失效带来的数据不可用', 'D': 'Replication和Rebalance需要有优先级控制，防止数据复制不及时造成数据丢失'}","[""B""]",1.0,1.0,单选题,2.30,"[585119, 585120, 585121, 585122, 585124, 585125, 585126, 585127, 585128, 585129, 585130, 585132, 585133, 585134, 585135, 585136, 585137, 585138, 585139, 585140, 585141, 585143, 585144, 585146, 585147, 585148, 585150]",Ex_585151,Chinese
26,14424233_738107,Pm_738107,U_14424233,1,1,2.0,2020-05-18 00:31:37,K_存储介质_计算机科学与技术,第二讲 分布式存储--QUIZ,下面对于分布式存储系统中如何选取存储介质的描述错误的是（  ）,"{'A': '为了让程序实现简单高效，存储系统中应该选用单一的存储介质', 'B': '为了节省存储成本，通常在一个分布式存储系统中会使用多种存储介质来实现高性能和大容量的目的', 'C': '不同的使用场景下，应该采用灵活的混合存储方式来满足需求', 'D': '所有存储介质的存储寿命都是一样的，所以寿命不在选取介质类型的考虑范围内'}","[""A"", ""D""]",2.0,2.0,多选题,2.30,"[585119, 585120, 585121, 585122, 585124, 585125, 585126, 585127, 585128, 585129, 585130, 585132, 585133, 585134, 585135, 585136, 585137, 585138, 585139, 585140, 585141, 585143, 585144, 585146, 585147, 585148, 585150]",Ex_585151,Chinese
27,14424233_738107,Pm_738107,U_14424233,1,1,2.0,2020-05-18 00:31:37,K_分布式存储系统_计算机科学与技术,第二讲 分布式存储--QUIZ,下面对于分布式存储系统中如何选取存储介质的描述错误的是（  ）,"{'A': '为了让程序实现简单高效，存储系统中应该选用单一的存储介质', 'B': '为了节省存储成本，通常在一个分布式存储系统中会使用多种存储介质来实现高性能和大容量的目的', 'C': '不同的使用场景下，应该采用灵活的混合存储方式来满足需求', 'D': '所有存储介质的存储寿命都是一样的，所以寿命不在选取介质类型的考虑范围内'}","[""A"", ""D""]",2.0,2.0,多选题,2.30,"[585119, 585120, 585121, 585122, 585124, 585125, 585126, 585127, 585128, 585129, 585130, 585132, 585133, 585134, 585135, 585136, 585137, 585138, 585139, 585140, 585141, 585143, 585144, 585146, 585147, 585148, 585150]",Ex_585151,Chinese
29,14424233_738109,Pm_738109,U_14424233,1,1,1.0,2020-05-18 00:32:42,K_任务调度_计算机科学与技术,第三讲 资源管理与任务调度--QUIZ,下面对分布式调度需要解决问题的说法正确的是？(  ),"{'A': '分布式调度主要解决任务调度的问题', 'B': '分布式调度主要解决资源如何分配的问题', 'C': '分布式调度既要解决任务调度也需要解决资源调度的问题', 'D': '以上说法都不对'}","[""C""]",1.0,1.0,单选题,3.9,"[585152, 585153, 585154, 585155, 585157, 585158]",Ex_585159,Chinese
30,14424233_738109,Pm_738109,U_14424233,1,1,1.0,2020-05-18 00:32:42,K_任务调度_计算机科学与技术,第三讲 资源管理与任务调度--QUIZ,下面对分布式调度需要解决问题的说法正确的是？(  ),"{'A': '分布式调度主要解决任务调度的问题', 'B': '分布式调度主要解决资源如何分配的问题', 'C': '分布式调度既要解决任务调度也需要解决资源调度的问题', 'D': '以上说法都不对'}","[""C""]",1.0,1.0,单选题,3.9,"[585152, 585153, 585154, 585155, 585157, 585158]",Ex_585159,Chinese
31,14424233_738110,Pm_738110,U_14424233,1,1,1.0,2020-05-18 00:32:46,K_资源调度_计算机科学与技术,第三讲 资源管理与任务调度--QUIZ,伏羲分布式调度系统中负责资源调度的角色是？(  ),"{'A': 'FuxiMaster', 'B': 'Tubo', 'C': 'AppMaster', 'D': 'AppWorker'}","[""A""]",1.0,1.0,单选题,3.9,"[585152, 585153, 585154, 585155, 585157, 585158]",Ex_585159,Chinese
