problem_id,user_id,content,option,answer,concept_id,course_name,knowledge_chain,is_correct,explanation
Pm_1209650,U_14392312,不同VLAN 间数据通信，需通过（ ）进行转发。,"{'A': 'HUB', 'B': '二层交换机', 'C': '路由器', 'D': '中继器'}","[""C""]",K_二层交换机_计算机科学与技术,网络综合布线,K_二层交换机_计算机科学与技术,0,"The question asks about the device required for communication between different VLANs. VLANs, or Virtual Local Area Networks, separate broadcast domains in a Layer 2 network. To enable communication between these VLANs, a router (Option C) or a Layer 3 switch is utilized, as they can route traffic between different network segments. The student answered incorrectly, possibly by misunderstanding the function of these devices, since hubs (Option A), Layer 2 switches (Option B), and repeaters (Option D) are not capable of routing between VLANs. They only operate within the same VLAN or broadcast domain."
Pm_1209652,U_14392312,虚拟局域网VLAN可根据以下哪些方式划分（）,"{'A': '根据端口划分VLAN', 'B': '根据MAC地址划分VLAN', 'C': '根据网络层（IP地址）划分VLAN', 'D': 'IP组播作为VLAN'}","[""A"", ""B"", ""C"", ""D""]",K_IP地址_信息与通信工程,网络综合布线,K_IP地址_信息与通信工程,0,"The student's answer, which includes options A, B, C, and D, is incorrect. VLANs are typically divided based on port (option A), MAC address (option B), and network layer or IP address (option C). However, option D, which states 'IP multicast as VLAN,' is not a standard method for VLAN division. Therefore, selecting option D led to the incorrect answer."
Pm_738102,U_14424233,为保证从分布式存储系统中读取的数据正确，需要采用哪种数据处理方式（  ）,"{'A': '压缩', 'B': '多份存储', 'C': 'Erasure coding编码', 'D': 'Checksum数据校验'}","[""D""]",K_分布式存储系统_计算机科学与技术,大数据平台核心技术,K_分布式存储系统_计算机科学与技术,1,"The student correctly answered the question by choosing option D, 'Checksum数据校验'. In distributed storage systems, ensuring data correctness during read operations often involves using checksums. Checksums are used to verify the integrity of data by comparing the stored checksum value with the value calculated from the retrieved data. This helps detect errors that might have occurred during storage or transmission, making it a correct method for ensuring data correctness in distributed systems."
Pm_738104,U_14424233,对于数据复制中的两种技术Replication和Rebalance的异同点描述不正确的是（  ）,"{'A': 'Repication的主要目的是为了保证数据可靠，防止数据丢失', 'B': 'Rebalance的主要目的是为了清理系统中的多余数据，提高空间利用率', 'C': 'Replication和Rebalance都需要考虑到数据在数据中心中的存放位置，提高由于硬件失效带来的数据不可用', 'D': 'Replication和Rebalance需要有优先级控制，防止数据复制不及时造成数据丢失'}","[""B""]",K_级控_计算机科学与技术,大数据平台核心技术,K_级控_计算机科学与技术,1,"The student correctly identified option B as the statement that inaccurately describes the differences between Replication and Rebalance. Replication aims to ensure data reliability and prevent data loss, while Rebalance is primarily about redistributing data to optimize system performance and reduce imbalance, rather than specifically cleaning excess data for better space utilization. Thus, option B does not correctly capture the primary goal of Rebalance, making it the right choice for an incorrect description."
Pm_738104,U_14424233,对于数据复制中的两种技术Replication和Rebalance的异同点描述不正确的是（  ）,"{'A': 'Repication的主要目的是为了保证数据可靠，防止数据丢失', 'B': 'Rebalance的主要目的是为了清理系统中的多余数据，提高空间利用率', 'C': 'Replication和Rebalance都需要考虑到数据在数据中心中的存放位置，提高由于硬件失效带来的数据不可用', 'D': 'Replication和Rebalance需要有优先级控制，防止数据复制不及时造成数据丢失'}","[""B""]",K_数据复制_计算机科学与技术,大数据平台核心技术,K_数据复制_计算机科学与技术,1,"The student correctly identified option B as a false statement regarding the differences and similarities between Replication and Rebalance. Replication is indeed aimed at ensuring data reliability and preventing data loss. However, while Rebalance may involve moving data to improve resource utilization, its main goal is balancing data distribution across the system rather than merely cleaning up redundant data. Therefore, B is not a correct description of Rebalance's primary purpose, making it the right choice for the question."
Pm_738107,U_14424233,下面对于分布式存储系统中如何选取存储介质的描述错误的是（  ）,"{'A': '为了让程序实现简单高效，存储系统中应该选用单一的存储介质', 'B': '为了节省存储成本，通常在一个分布式存储系统中会使用多种存储介质来实现高性能和大容量的目的', 'C': '不同的使用场景下，应该采用灵活的混合存储方式来满足需求', 'D': '所有存储介质的存储寿命都是一样的，所以寿命不在选取介质类型的考虑范围内'}","[""A"", ""D""]",K_存储介质_计算机科学与技术,大数据平台核心技术,K_存储介质_计算机科学与技术,1,"The student's response is correct because options A and D are indeed incorrect statements about selecting storage media in a distributed storage system. A single type of storage media is not usually sufficient to satisfy the diverse requirements of modern distributed systems, as indicated by option A being incorrect. Option D is also incorrect because different storage media have different lifespans, and this is a critical factor when selecting storage media for a system. Thus, selecting options A and D aligns with the correct understanding of these concepts."
Pm_738107,U_14424233,下面对于分布式存储系统中如何选取存储介质的描述错误的是（  ）,"{'A': '为了让程序实现简单高效，存储系统中应该选用单一的存储介质', 'B': '为了节省存储成本，通常在一个分布式存储系统中会使用多种存储介质来实现高性能和大容量的目的', 'C': '不同的使用场景下，应该采用灵活的混合存储方式来满足需求', 'D': '所有存储介质的存储寿命都是一样的，所以寿命不在选取介质类型的考虑范围内'}","[""A"", ""D""]",K_分布式存储系统_计算机科学与技术,大数据平台核心技术,K_分布式存储系统_计算机科学与技术,1,"The student correctly identified options A and D as the incorrect descriptions in the context of selecting storage media for distributed storage systems. Option A is incorrect because using a single type of storage medium would not allow for optimal performance and cost-efficiency, which are key goals of distributed systems. Option D is incorrect because different storage media have different lifespans, and considering the lifespan is essential when choosing the right type of storage."
Pm_738109,U_14424233,下面对分布式调度需要解决问题的说法正确的是？(  ),"{'A': '分布式调度主要解决任务调度的问题', 'B': '分布式调度主要解决资源如何分配的问题', 'C': '分布式调度既要解决任务调度也需要解决资源调度的问题', 'D': '以上说法都不对'}","[""C""]",K_任务调度_计算机科学与技术,大数据平台核心技术,K_任务调度_计算机科学与技术,1,"The student answered the question correctly by selecting option 'C'. In distributed scheduling, it is necessary to address both task scheduling and resource scheduling problems. Task scheduling involves deciding the order and timing of tasks, while resource scheduling deals with how to allocate resources efficiently among tasks. Therefore, option 'C' accurately describes the main challenges of distributed scheduling."
Pm_738110,U_14424233,伏羲分布式调度系统中负责资源调度的角色是？(  ),"{'A': 'FuxiMaster', 'B': 'Tubo', 'C': 'AppMaster', 'D': 'AppWorker'}","[""A""]",K_资源调度_计算机科学与技术,大数据平台核心技术,K_资源调度_计算机科学与技术,1,"The student correctly answered 'A: FuxiMaster' as the role responsible for resource scheduling in the Fuxi distributed scheduling system. FuxiMaster is known to be the component in charge of managing and scheduling resources in such systems, hence the answer is correct."
Pm_738114,U_14424233,下列关于伏羲资源调度优先级策略的说法错误的是？(  ),"{'A': '每个job在提交时会带一个priority值，一个整数值，越大优先级越高', 'B': '相同优先级按提交时间，先提交的优先级高', 'C': '资源优先分配给高优先级的job，剩余的资源继续分配给次高优先级job', 'D': '允许有高优先级的紧急任务加入'}","[""A""]",K_高优先级_计算机科学与技术,大数据平台核心技术,K_高优先级_计算机科学与技术,1,"The student correctly identified the statement that is incorrect about the priority scheduling strategy of Fuxi. The option 'A' suggests that a larger integer priority value indicates a higher priority, which contradicts common priority scheduling logic where a higher numerical value typically signifies lower priority. Therefore, this statement is incorrect, and the student's choice reflects an understanding of typical priority conventions."
Pm_738115,U_14424233,伏羲资源调度支持抢占，下面说法错误的是？(  ),"{'A': 'FuxiMaster会从当前正在运行的任务中，从最低优先级任务开始强制收回资源', 'B': '最低优先级任务被抢占后，抢占过程即终止', 'C': '抢占会一直递归进行', 'D': '不能抢比自己优先级高的任务'}","[""B""]",K_资源调度_计算机科学与技术,大数据平台核心技术,K_资源调度_计算机科学与技术,1,"The student's answer is correct. Option B states that the preemption process will stop after preempting the lowest priority task, which is incorrect. Resource scheduling that supports preemption typically involves continuous or recursive preemption to manage resources effectively, as stated in option C. The student correctly identified the false statement as required by the question."
Pm_738116,U_14424233,阿里云伏羲分布式调度系统与社区Hadoop MR最大的区别是？(  ),"{'A': 'Hadoop是一层架构集中资源和任务调度，而伏羲是两层架构独立的资源和任务调度', 'B': 'Hadoop存在规模瓶颈，而伏羲规模横向扩展性更好', 'C': 'Hadoop与伏羲的调度策略不同', 'D': 'Hadoop jobtracker没有failover，伏羲有完善的failover功能'}","[""A"", ""B"", ""D""]",K_调度策略_计算机科学与技术,大数据平台核心技术,K_计算复杂度_计算机科学与技术-K_程序指令_计算机科学与技术-K_段表_计算机科学与技术-K_中断机制_计算机科学与技术-K_用户进程_计算机科学与技术-K_调度策略_计算机科学与技术,1,"The student correctly identified multiple key differences between Alibaba Cloud's Fuxi system and Hadoop MR. Option 'A' is correct as Fuxi uses a two-layer architecture with independent resource and task scheduling, while Hadoop uses a single-layer architecture. Option 'B' is also correct as Fuxi is designed for better horizontal scalability than Hadoop, which may face scaling limitations. Lastly, 'D' is correct since Fuxi offers a well-developed failover mechanism, unlike Hadoop's jobtracker, which lacks this feature. The student's understanding of the architectural and operational differences between these two systems is reflected in their correct selection of answers."
Pm_738116,U_14424233,阿里云伏羲分布式调度系统与社区Hadoop MR最大的区别是？(  ),"{'A': 'Hadoop是一层架构集中资源和任务调度，而伏羲是两层架构独立的资源和任务调度', 'B': 'Hadoop存在规模瓶颈，而伏羲规模横向扩展性更好', 'C': 'Hadoop与伏羲的调度策略不同', 'D': 'Hadoop jobtracker没有failover，伏羲有完善的failover功能'}","[""A"", ""B"", ""D""]",K_阿里云_计算机科学与技术,大数据平台核心技术,K_阿里云_计算机科学与技术,1,"The student correctly identified the significant differences between the Alibaba Cloud Fuxi distributed scheduling system and the community Hadoop MR. Option A correctly describes the architectural difference of one-layer vs. two-layer for resource and task scheduling. Option B correctly indicates Fuxi's better horizontal scalability compared to Hadoop's scalability bottleneck. Option D also correctly mentions the failover capability which Fuxi possesses, unlike the jobtracker in Hadoop."
Pm_738117,U_14424233,伏羲资源调度的目标包括？(  ),"{'A': '集群资源利用率最大化', 'B': '每个任务的资源等待时间最小化', 'C': '能分组控制资源配额', 'D': '能支持临时紧急任务'}","[""A"", ""B"", ""C"", ""D""]",K_资源调度_计算机科学与技术,大数据平台核心技术,K_资源调度_计算机科学与技术,1,"The student's answer includes all options as goals of resource scheduling, specifically targeting maximizing cluster resource utilization, minimizing resource wait time for tasks, controlling resource quotas in groups, and supporting temporary urgent tasks. Given the context of resource scheduling in large data platforms, these are all valid objectives. Therefore, the student correctly identified all the goals of scheduling in this scenario."
Pm_738117,U_14424233,伏羲资源调度的目标包括？(  ),"{'A': '集群资源利用率最大化', 'B': '每个任务的资源等待时间最小化', 'C': '能分组控制资源配额', 'D': '能支持临时紧急任务'}","[""A"", ""B"", ""C"", ""D""]",K_集群_计算机科学与技术,大数据平台核心技术,K_集群_计算机科学与技术,1,"The student's answer is correct because they selected all the options ('A', 'B', 'C', 'D') that align with the goals of 伏羲 (Fuxi) resource scheduling. These include maximizing cluster resource utilization, minimizing the resource waiting time for each task, having the capability to control resource quotas in groups, and supporting temporary urgent tasks. Each of these options reflects a relevant objective in resource scheduling strategies for cluster management in the context of big data platforms."
Pm_738120,U_14424233,伏羲在支持大规模方面采用了哪些技术？(  ),"{'A': '多线程', 'B': '增量资源调度', 'C': '异步', 'D': '增加数据量'}","[""A"", ""B"", ""C""]",K_加数_计算机科学与技术,大数据平台核心技术,K_加数_计算机科学与技术,1,"The student answered the question correctly by selecting options 'A', 'B', and 'C'. These options represent techniques such as multi-threading, incremental resource scheduling, and asynchronous processing, which are commonly used to support scalability in large-scale systems. The student's understanding of the application of these technologies in supporting large-scale operations indicates a good grasp of core concepts in the course '大数据平台核心技术'."
