content,option,answer,is_correct,explanation
不同VLAN 间数据通信，需通过（ ）进行转发。,"{'A': 'HUB', 'B': '二层交换机', 'C': '路由器', 'D': '中继器'}","[""C""]",0,No explanation provided.
虚拟局域网VLAN可根据以下哪些方式划分（）,"{'A': '根据端口划分VLAN', 'B': '根据MAC地址划分VLAN', 'C': '根据网络层（IP地址）划分VLAN', 'D': 'IP组播作为VLAN'}","[""A"", ""B"", ""C"", ""D""]",0,No explanation provided.
为保证从分布式存储系统中读取的数据正确，需要采用哪种数据处理方式（  ）,"{'A': '压缩', 'B': '多份存储', 'C': 'Erasure coding编码', 'D': 'Checksum数据校验'}","[""D""]",1,No explanation provided.
对于数据复制中的两种技术Replication和Rebalance的异同点描述不正确的是（  ）,"{'A': 'Repication的主要目的是为了保证数据可靠，防止数据丢失', 'B': 'Rebalance的主要目的是为了清理系统中的多余数据，提高空间利用率', 'C': 'Replication和Rebalance都需要考虑到数据在数据中心中的存放位置，提高由于硬件失效带来的数据不可用', 'D': 'Replication和Rebalance需要有优先级控制，防止数据复制不及时造成数据丢失'}","[""B""]",1,No explanation provided.
对于数据复制中的两种技术Replication和Rebalance的异同点描述不正确的是（  ）,"{'A': 'Repication的主要目的是为了保证数据可靠，防止数据丢失', 'B': 'Rebalance的主要目的是为了清理系统中的多余数据，提高空间利用率', 'C': 'Replication和Rebalance都需要考虑到数据在数据中心中的存放位置，提高由于硬件失效带来的数据不可用', 'D': 'Replication和Rebalance需要有优先级控制，防止数据复制不及时造成数据丢失'}","[""B""]",1,No explanation provided.
下面对于分布式存储系统中如何选取存储介质的描述错误的是（  ）,"{'A': '为了让程序实现简单高效，存储系统中应该选用单一的存储介质', 'B': '为了节省存储成本，通常在一个分布式存储系统中会使用多种存储介质来实现高性能和大容量的目的', 'C': '不同的使用场景下，应该采用灵活的混合存储方式来满足需求', 'D': '所有存储介质的存储寿命都是一样的，所以寿命不在选取介质类型的考虑范围内'}","[""A"", ""D""]",1,No explanation provided.
下面对于分布式存储系统中如何选取存储介质的描述错误的是（  ）,"{'A': '为了让程序实现简单高效，存储系统中应该选用单一的存储介质', 'B': '为了节省存储成本，通常在一个分布式存储系统中会使用多种存储介质来实现高性能和大容量的目的', 'C': '不同的使用场景下，应该采用灵活的混合存储方式来满足需求', 'D': '所有存储介质的存储寿命都是一样的，所以寿命不在选取介质类型的考虑范围内'}","[""A"", ""D""]",1,No explanation provided.
下面对分布式调度需要解决问题的说法正确的是？(  ),"{'A': '分布式调度主要解决任务调度的问题', 'B': '分布式调度主要解决资源如何分配的问题', 'C': '分布式调度既要解决任务调度也需要解决资源调度的问题', 'D': '以上说法都不对'}","[""C""]",1,No explanation provided.
下面对分布式调度需要解决问题的说法正确的是？(  ),"{'A': '分布式调度主要解决任务调度的问题', 'B': '分布式调度主要解决资源如何分配的问题', 'C': '分布式调度既要解决任务调度也需要解决资源调度的问题', 'D': '以上说法都不对'}","[""C""]",1,No explanation provided.
伏羲分布式调度系统中负责资源调度的角色是？(  ),"{'A': 'FuxiMaster', 'B': 'Tubo', 'C': 'AppMaster', 'D': 'AppWorker'}","[""A""]",1,No explanation provided.
下列关于伏羲资源调度优先级策略的说法错误的是？(  ),"{'A': '每个job在提交时会带一个priority值，一个整数值，越大优先级越高', 'B': '相同优先级按提交时间，先提交的优先级高', 'C': '资源优先分配给高优先级的job，剩余的资源继续分配给次高优先级job', 'D': '允许有高优先级的紧急任务加入'}","[""A""]",1,No explanation provided.
伏羲资源调度支持抢占，下面说法错误的是？(  ),"{'A': 'FuxiMaster会从当前正在运行的任务中，从最低优先级任务开始强制收回资源', 'B': '最低优先级任务被抢占后，抢占过程即终止', 'C': '抢占会一直递归进行', 'D': '不能抢比自己优先级高的任务'}","[""B""]",1,No explanation provided.
阿里云伏羲分布式调度系统与社区Hadoop MR最大的区别是？(  ),"{'A': 'Hadoop是一层架构集中资源和任务调度，而伏羲是两层架构独立的资源和任务调度', 'B': 'Hadoop存在规模瓶颈，而伏羲规模横向扩展性更好', 'C': 'Hadoop与伏羲的调度策略不同', 'D': 'Hadoop jobtracker没有failover，伏羲有完善的failover功能'}","[""A"", ""B"", ""D""]",1,No explanation provided.
阿里云伏羲分布式调度系统与社区Hadoop MR最大的区别是？(  ),"{'A': 'Hadoop是一层架构集中资源和任务调度，而伏羲是两层架构独立的资源和任务调度', 'B': 'Hadoop存在规模瓶颈，而伏羲规模横向扩展性更好', 'C': 'Hadoop与伏羲的调度策略不同', 'D': 'Hadoop jobtracker没有failover，伏羲有完善的failover功能'}","[""A"", ""B"", ""D""]",1,No explanation provided.
伏羲资源调度的目标包括？(  ),"{'A': '集群资源利用率最大化', 'B': '每个任务的资源等待时间最小化', 'C': '能分组控制资源配额', 'D': '能支持临时紧急任务'}","[""A"", ""B"", ""C"", ""D""]",1,No explanation provided.
伏羲资源调度的目标包括？(  ),"{'A': '集群资源利用率最大化', 'B': '每个任务的资源等待时间最小化', 'C': '能分组控制资源配额', 'D': '能支持临时紧急任务'}","[""A"", ""B"", ""C"", ""D""]",1,No explanation provided.
伏羲在支持大规模方面采用了哪些技术？(  ),"{'A': '多线程', 'B': '增量资源调度', 'C': '异步', 'D': '增加数据量'}","[""A"", ""B"", ""C""]",1,No explanation provided.
下面哪个阶段在BSP模型中可以独立并发执行的？（  ）,"{'A': '数据分片阶段', 'B': '本地计算阶段', 'C': '全局通信阶段', 'D': '栅栏同步阶段'}","[""B""]",1,No explanation provided.
下面哪些是BSP模型的缺点？（  ）,"{'A': '栅栏同步开销比较大', 'B': '可能产生死锁', 'C': '没有解决负载均衡问题', 'D': '被计算的数据可以保存在内存里'}","[""A""]",1,No explanation provided.
下面哪些是函数式编程语言有特点？（  ）,"{'A': '每个函数都有输出', 'B': '函数可以改变外部变量的状态', 'C': '函数的输出结果不依赖于外部变量', 'D': '函数的输入参数可能是另外一个函数'}","[""A"", ""C"", ""D""]",1,No explanation provided.
